ID,category,xsection,kfactor,efficiency,name,group,subgroup
,Data,,,,physics_Main,Data,physics_Main
301535,Background,52.706,1.0,1.0,Sherpa_CT10_eegammaPt10_35,Zgamma,ee
301536,Background,52.708,1.0,1.0,Sherpa_CT10_mumugammaPt10_35,Zgamma,mumu
301887,Background,200.75,1.0,1.0,Sherpa_CT10_enugammaPt10_35,Wgamma,enu
301888,Background,200.91,1.0,1.0,Sherpa_CT10_munugammaPt10_35,Wgamma,munu
301889,Background,200.78,1.0,1.0,Sherpa_CT10_taunugammaPt10_35,Wgamma,taunu
301890,Background,15.348,1.0,1.0,Sherpa_CT10_enugammaPt35_70,Wgamma,enu
301891,Background,1.5282,1.0,1.0,Sherpa_CT10_enugammaPt70_140,Wgamma,enu
301892,Background,0.24155,1.0,1.0,Sherpa_CT10_enugammaPt140,Wgamma,enu
301893,Background,15.272,1.0,1.0,Sherpa_CT10_munugammaPt35_70,Wgamma,munu
301894,Background,1.5235,1.0,1.0,Sherpa_CT10_munugammaPt70_140,Wgamma,munu
301895,Background,0.24183,1.0,1.0,Sherpa_CT10_munugammaPt140,Wgamma,munu
301896,Background,15.297,1.0,1.0,Sherpa_CT10_taunugammaPt35_70,Wgamma,taunu
301897,Background,1.529,1.0,1.0,Sherpa_CT10_taunugammaPt70_140,Wgamma,taunu
301898,Background,0.2426,1.0,1.0,Sherpa_CT10_taunugammaPt140,Wgamma,taunu
301899,Background,5.242,1.0,1.0,Sherpa_CT10_eegammaPt35_70,Zgamma,ee
301900,Background,0.38455,1.0,1.0,Sherpa_CT10_eegammaPt70_140,Zgamma,ee
301901,Background,0.047209,1.0,1.0,Sherpa_CT10_eegammaPt140,Zgamma,ee
301902,Background,5.2455,1.0,1.0,Sherpa_CT10_mumugammaPt35_70,Zgamma,mumu
301903,Background,0.38548,1.0,1.0,Sherpa_CT10_mumugammaPt70_140,Zgamma,mumu
301904,Background,0.04724,1.0,1.0,Sherpa_CT10_mumugammaPt140,Zgamma,mumu
301905,Background,5.249,1.0,1.0,Sherpa_CT10_tautaugammaPt35_70,Zgamma,tautau
301906,Background,0.38482,1.0,1.0,Sherpa_CT10_tautaugammaPt70_140,Zgamma,tautau
301907,Background,0.047025,1.0,1.0,Sherpa_CT10_tautaugammaPt140,Zgamma,tautau
302449,Signal,0.020179,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH300,DCH,DCH300
302450,Signal,0.0059727,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH400,DCH,DCH400
302451,Signal,0.0021733,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH500,DCH,DCH500
302452,Signal,0.00089447,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH600,DCH,DCH600
302453,Signal,0.00040462,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH700,DCH,DCH700
302454,Signal,0.00019397,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH800,DCH,DCH800
302455,Signal,9.8716e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH900,DCH,DCH900
302456,Signal,5.2052e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1000,DCH,DCH1000
302457,Signal,2.8246e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1100,DCH,DCH1100
302458,Signal,1.5651e-05,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1200,DCH,DCH1200
302459,Signal,8.8774e-06,1.0,1.0,Pythia8EvtGen_A14NNPDF23LO_DCH1300,DCH,DCH1300
